"","y","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"238",7,-3.311,2.946,-0.808,-0.3,-0.457,0.324,0.515,0.149,0.533
"414",7,-3.027,2.903,-0.799,-0.452,-0.503,1.044,0.679,0.483,-0.776
"18",7,-2.733,1.088,0.761,1.694,-0.833,0.292,-1.069,0.266,0.369
"161",7,-3.024,3.26,0.35,-0.577,-1.183,0.872,0.556,0.762,0.395
"337",7,-3.318,3.395,-1.706,0.753,-0.214,1.431,0,-0.192,-1.33
"19",8,-3.835,3.339,0.29,-0.126,-1.68,0.195,-0.368,1.328,0.523
"96",8,-4.049,4.039,-0.558,0.064,-1.676,1.024,0.047,1.024,-0.091
"338",8,-3.747,4.267,-1.847,-0.235,0.38,0.885,-0.049,-0.258,-0.772
"206",8,-3.823,3.536,-2.07,0.245,-0.442,1.125,0.73,0.538,-0.006
"305",8,-3.387,3.286,-0.747,-0.699,-0.9,0.891,0.875,0.46,-0.457
"85",8,-4.033,4.071,-0.586,0.127,-1.447,0.62,0.197,0.711,0.48
"459",8,-3.753,3.605,-0.899,-0.747,-0.401,1.765,0.62,0.754,-0.835
"107",8,-4.064,4.106,-0.545,0.03,-1.645,0.904,0.103,0.907,0.05
"272",8,-3.44,3.203,-0.698,-0.86,-0.542,1.503,0.922,0.467,-0.183
"239",8,-4.052,3.747,-1.24,-0.299,-0.426,0.917,0.517,0.716,-0.21
"284",9,-3.909,3.674,-0.648,0.088,-0.365,0.199,0.424,0.336,-0.012
"460",9,-3.98,2.459,0.068,0.023,0.237,1.029,-0.189,0.521,-0.773
"185",9,-4.083,2.315,-0.375,0.52,-0.019,-0.211,-0.172,1.054,0.387
"427",9,-3.919,2.575,0.471,-0.064,-0.042,0.88,-0.128,0.612,-0.504
"405",9,-3.977,2.976,0.309,-0.259,0.026,0.816,-0.317,0.492,-0.674
"229",9,-4.094,3.586,-0.845,-0.026,-0.538,0.964,0.666,0.647,-0.412
"438",9,-3.946,2.545,0.447,-0.001,0.043,0.788,-0.102,0.68,-0.637
"75",9,-4.101,2.84,-0.802,0.062,-0.733,1.304,-0.145,0.443,0.049
"339",9,-4.039,2.061,-0.727,0.888,0.302,0.413,-0.381,-0.194,-0.614
"9",9,-3.839,1.248,0.83,0.982,-1.11,0.617,-0.751,0.084,0.309
"461",10,-4.264,2.925,0.065,0.794,0.323,0.515,-1.282,-0.14,-0.863
"241",10,-4.319,1.338,-0.549,1.678,0.027,1.922,-0.228,0.161,-0.47
"362",10,-4.001,2.284,-0.365,2.106,1.006,-0.028,-0.825,-0.39,-0.898
"186",10,-4.805,3.228,-0.501,0.602,-0.532,0.745,0.09,0.445,0.756
"263",10,-4.494,1.535,-0.495,1.715,0.044,1.892,-0.367,0.362,-0.583
"340",10,-4.08,2.242,-0.28,1.876,0.72,-0.292,-0.537,-0.54,-0.663
"219",10,-4.028,0.982,-0.648,1.478,-0.048,2.108,-0.146,0.467,-0.654
"417",10,-4.049,2.223,-0.076,0.928,0.692,0.731,-0.931,-0.141,-1.087
"351",10,-4.045,2.377,-0.3,2.002,0.826,-0.18,-0.768,-0.408,-0.787
"450",10,-4.211,2.811,0.016,0.799,0.514,0.496,-1.219,-0.238,-0.798
"121",11,-3.735,2.096,-0.818,0.463,-0.221,1.144,0.023,0.224,-0.745
"440",11,-3.325,2.141,-0.528,0.439,0.099,0.321,0.217,0.135,-1.388
"462",11,-3.291,2.324,-0.679,0.285,0.441,0.557,-0.227,0.115,-1.046
"55",11,-3.375,1.779,-0.822,0.382,-0.019,0.845,0.123,0.767,0.223
"264",11,-3.285,1.547,-0.897,0.917,0.127,0.402,-0.011,0.502,-0.557
"407",11,-3.451,2.257,-0.845,0.432,0.486,0.266,-0.215,0.006,-1.082
"352",11,-3.455,2.561,-0.421,0.847,0.33,0.057,-0.177,-0.494,-0.786
"132",11,-3.756,2.204,-0.716,0.529,-0.284,1.121,0.022,0.127,-0.782
"99",11,-3.725,1.904,-0.737,0.433,-0.369,1.047,0.12,0.425,-0.678
"231",11,-3.242,1.802,-0.482,0.699,0.424,0.337,0.115,0.272,-0.205
